318	857	121	749	745	276	1000
209	794	335	562	775	967	347
158	972	967	67	946	314	154
181	289	888	477	188	388	756
677	285	881	554	863	86	484
375	88	280	166	610	827	969
865	907	671	197	17	576	926
145	756	55	572	487	106	694
659	675	151	172	134	586	291
258	727	91	34	868	641	122
914	990	902	666	977	587	626
392	363	487	74	40	510	899
396	568	23	623	119	338	98
546	813	1	78	196	14	963
912	204	20	897	321	268	450
799	38	309	262	463	934	543
779	199	323	737	10	597	446
217	190	752	638	770	834	536
785	111	766	947	12	382	449
481	746	25	253	209	191	741
162	303	585	839	747	658	220
311	305	583	112	292	720	60
14	224	461	610	544	297	771
329	206	415	686	364	200	115
576	115	767	638	366	968	80
890	126	854	274	314	69	155
924	481	198	148	157	306	477
720	704	988	863	855	223	987
554	729	246	177	412	538	52
495	171	536	360	154	408	88
97	91	272	910	144	37	725
533	511	611	692	473	814	36
441	121	749	756	736	183	846
47	554	316	428	283	18	24
880	825	225	28	777	729	201
423	93	98	213	850	716	192
224	984	152	849	523	389	96
127	991	23	380	504	522	823
531	976	15	40	232	111	1
107	479	723	582	492	138	503
521	375	862	903	533	148	727
282	70	892	527	99	605	261
271	792	362	471	261	931	39
271	731	779	560	535	108	24
438	333	525	937	705	693	893
844	960	159	697	522	58	854
618	755	787	536	812	95	539
153	101	807	869	891	456	427
624	902	157	183	199	335	341
713	555	234	839	596	935	698
672	406	595	341	34	494	134
758	319	302	683	467	639	15
248	308	589	850	788	2	832
557	315	324	169	356	175	631
245	72	412	227	89	996	836
559	233	674	390	827	976	201
346	839	789	568	442	146	274
271	775	901	644	922	135	419
641	159	788	601	563	417	698
819	416	22	535	23	826	370
934	294	291	852	958	857	526
154	711	587	733	723	342	313
210	500	964	656	342	268	727
772	293	641	57	557	427	862
258	602	653	833	26	159	645
626	264	18	382	204	126	497
510	69	258	842	667	77	231
272	608	254	534	876	868	898
263	308	758	1	862	800	248
397	880	201	590	254	887	122
456	340	911	889	499	298	394
167	187	695	942	135	105	570
264	340	113	887	485	175	182
420	535	353	655	951	65	197
72	152	872	619	638	241	800
546	509	572	893	495	216	886
24	597	753	659	344	470	759
241	916	945	119	363	25	107
342	59	501	196	867	918	393
89	981	760	414	82	390	605
19	78	158	849	853	568	898
463	113	614	194	304	675	392
647	728	903	323	621	775	612
444	109	512	232	842	643	259
309	912	178	720	650	71	954
949	80	11	995	679	24	334
863	272	140	483	685	500	9
488	785	140	325	497	775	950
139	392	874	523	787	24	947
322	403	324	907	44	897	18
637	985	78	694	892	209	508
982	956	909	592	84	568	818
488	115	430	816	375	589	233
323	142	307	1	874	680	889
772	295	116	422	554	813	431
222	110	365	800	925	652	524
897	738	448	401	676	98	158
631	953	439	975	182	284	764
485	394	166	111	432	986	2
663	751	275	17	516	432	24
66	459	635	265	204	850	488
435	69	288	911	228	579	413
575	504	749	44	758	295	943
754	460	421	316	678	554	242
493	988	710	632	134	41	154
525	831	560	965	352	159	901
468	922	841	190	345	47	138
752	520	167	809	752	345	495
215	136	489	650	199	151	245
503	804	1	612	688	727	625
549	866	148	893	750	584	152
267	267	295	693	754	599	67
32	855	630	9	251	668	990
588	745	728	203	705	561	940
78	430	809	585	820	231	67
764	686	127	372	775	136	98
282	178	563	974	342	724	980
417	467	887	291	639	916	652
649	556	894	992	98	117	559
750	208	858	522	213	169	152
298	43	415	874	7	941	904
175	30	72	208	25	600	380
110	987	685	491	915	501	998
564	150	189	365	796	257	98
896	731	919	447	736	645	978
126	815	937	601	410	992	880
152	194	926	276	234	202	101
794	422	477	633	429	93	909
749	531	899	956	415	929	729
670	305	763	367	807	426	705
206	845	710	629	305	827	844
962	535	287	705	596	380	364
149	828	770	53	801	321	287
393	548	528	598	442	270	170
844	100	715	453	390	121	148
911	902	421	828	421	639	195
429	765	163	3	805	507	372
669	7	690	2	709	746	79
841	503	313	839	348	535	612
52	854	154	606	536	165	425
455	527	934	959	526	833	886
214	838	38	691	547	558	833
465	106	760	213	315	323	275
529	118	681	386	456	484	967
494	116	292	933	690	489	183
886	340	549	223	209	266	752
819	906	81	309	165	222	841
308	979	265	812	131	375	23
385	559	773	426	535	881	367
786	922	225	508	44	366	275
815	819	297	829	684	472	232
951	414	759	605	674	123	410
257	842	850	170	286	119	729
158	555	798	232	99	252	165
479	205	170	776	211	195	941
218	63	217	485	195	118	834
508	116	763	469	410	145	144
716	372	28	896	437	591	37
99	272	888	865	575	981	688
28	207	967	41	619	354	882
412	794	581	466	83	679	579
529	290	111	422	782	94	250
466	521	315	180	720	400	121
665	880	545	237	68	166	890
851	104	982	617	598	856	234
999	528	141	381	417	240	555
594	147	72	808	672	602	612
697	557	485	99	385	177	17
393	973	82	348	80	483	192
962	30	683	928	476	257	437
478	91	195	763	597	300	942
420	997	327	951	265	287	200
91	245	287	900	119	494	284
611	508	327	626	40	703	224
559	642	442	847	742	40	781
736	100	44	662	262	664	313
589	825	334	674	80	134	474
293	373	845	898	644	606	625
78	517	263	441	709	123	205
292	449	896	334	80	135	983
462	235	1	282	339	668	655
424	110	134	860	896	85	738
818	747	486	327	688	198	837
540	39	670	490	57	255	591
95	589	596	638	340	5	180
505	911	166	839	431	651	885
683	845	737	168	330	831	847
275	123	904	220	628	172	101
49	219	813	754	108	250	505
163	148	116	351	768	724	998
99	841	613	117	264	310	120
509	318	405	86	275	960	400
761	522	582	188	113	340	932
39	292	103	561	951	776	528
674	391	117	2	245	952	656
659	972	84	692	758	914	459
60	112	6	607	519	407	615
967	255	208	514	941	792	407
573	937	624	813	372	600	114
450	52	24	598	873	75	198
857	254	121	90	535	20	420
119	368	164	969	22	257	893
108	541	183	793	479	292	636
80	792	528	673	782	11	127
220	512	139	532	635	725	307
926	160	573	649	794	940	905
451	606	405	572	448	945	712
883	944	510	498	390	537	736
767	180	640	28	359	953	36
586	358	823	474	740	434	709
728	115	188	79	590	995	596
427	925	740	722	308	491	666
52	263	859	264	938	652	943
951	542	345	215	125	307	587
849	414	714	846	980	668	229
1	870	481	692	154	422	684
216	19	142	71	260	366	824
192	962	288	698	103	21	613
902	503	841	160	321	666	470
961	952	583	658	851	366	842
916	731	68	892	608	788	378
292	809	544	376	792	691	788
745	255	85	697	235	654	116
718	262	476	195	118	24	440
736	664	339	558	463	580	228
722	386	265	299	119	87	975
893	72	895	394	449	908	802
929	714	417	384	988	971	231
848	986	668	518	89	652	19
1	83	520	177	327	731	303
77	121	804	562	419	302	16
546	26	384	220	53	842	251
722	142	850	129	512	555	834
129	407	345	597	796	433	661
948	558	696	173	758	247	222
215	772	484	769	960	784	433
102	67	222	480	141	711	941
437	65	204	978	785	904	486
182	134	986	165	9	533	894
651	780	544	41	70	496	643
370	694	20	571	657	137	640
576	86	150	956	190	863	159
230	268	768	469	490	630	998
250	275	537	644	93	801	940
603	240	831	511	7	687	953
902	736	742	808	23	389	738
62	974	486	431	869	388	523
733	298	477	239	232	218	553
165	787	501	723	137	693	908
948	709	755	358	47	777	683
277	80	754	768	976	304	107
64	635	714	329	707	209	437
363	883	324	644	865	960	926
36	60	597	36	235	481	611
889	18	777	522	862	856	181
331	733	291	25	674	227	574
697	32	700	919	594	295	350
378	712	465	76	589	776	495
18	125	135	754	761	29	765
834	128	655	145	185	355	661
231	549	165	91	52	890	532
683	724	107	482	720	794	284
639	838	209	750	898	858	887
684	75	889	641	841	197	745
612	822	124	329	802	197	258
977	352	586	721	719	415	215
73	403	766	23	217	303	101
113	444	73	743	255	61	395
968	863	920	72	486	700	70
967	732	216	669	428	683	862
2	123	706	651	308	95	708
446	620	135	877	183	439	376
195	631	896	354	187	477	816
239	454	121	774	262	503	218
768	721	418	109	440	555	236
256	566	221	761	741	860	713
350	819	733	98	451	143	63
986	218	494	94	891	211	717
376	880	121	989	474	586	259
690	677	60	511	658	685	352
209	545	502	68	562	269	890
233	914	668	23	655	26	141
386	650	616	22	424	653	985
255	588	529	103	654	591	887
679	683	774	257	100	701	45
616	448	795	820	106	171	609
815	916	309	723	73	786	81
159	127	699	438	47	199	914
872	391	638	89	192	4	764
15	613	296	164	793	130	233
575	342	275	227	780	944	20
266	818	87	462	625	315	683
844	643	6	518	651	885	649
354	953	609	739	37	840	250
588	771	199	319	53	185	450
824	918	180	593	338	853	438
533	193	767	623	483	265	653
9	812	135	631	879	861	997
761	223	432	107	658	954	93
151	206	966	264	674	658	589
415	147	809	803	542	942	984
999	67	175	903	444	710	28
96	928	457	646	193	505	912
657	213	558	833	974	119	22
53	764	631	806	409	892	756
469	955	477	701	113	848	925
131	108	132	93	461	337	706
308	408	226	243	838	323	701
240	530	487	416	120	447	133
686	924	263	625	251	761	461
515	444	460	673	328	932	671
632	457	745	972	862	786	700
429	775	949	729	442	498	5
